Join Date,Name,Completed
"Oct 29, 2021, 1:32:11 AM",The MAAP Clean Livin’ Challenge,true
"Oct 29, 2021, 1:32:13 AM",Ten Thousand X Ryan Hall 26.2 Challenge,true
"Oct 29, 2021, 1:32:13 AM",Saucony Grand Prix- Stage Three,true
"Oct 29, 2021, 1:32:16 AM",TCS We Believe We Can,true
"Oct 29, 2021, 1:32:19 AM",Le Col 250 Tempo,true
"Nov 20, 2021, 3:13:45 AM",Hydrow UK Get Moving Challenge,true
"Nov 20, 2021, 3:13:48 AM","fizik Ride Now, Shop Later",false
"Nov 24, 2021, 3:23:25 PM",December Run Climbing Challenge,false
"Nov 24, 2021, 3:23:25 PM",Le Col Tick Off 2021,true
"Nov 24, 2021, 3:23:27 PM",November Running Endurance Challenge,false
"Nov 24, 2021, 3:23:31 PM",December 5k,true
"Nov 24, 2021, 3:23:31 PM",December Running Distance Challenge,true
"Nov 24, 2021, 3:23:33 PM",December Running Endurance Challenge,false
"Nov 24, 2021, 3:23:34 PM",December 10k,true
"Nov 24, 2021, 3:23:34 PM",December Running Challenge,true
"Nov 26, 2021, 1:52:28 AM",December Half Marathon,true
"Dec 8, 2021, 5:53:50 PM",San Silvestre,true
"Dec 27, 2021, 5:38:10 PM",January Cycling Distance Challenge,false
"Dec 27, 2021, 5:38:10 PM",January Gran Fondo,false
"Dec 27, 2021, 5:38:12 PM",January Cycling Climbing Challenge,false
"Dec 27, 2021, 5:38:13 PM",January Cycling Consistency Challenge,false
"Dec 27, 2021, 5:38:14 PM",January Cycling Challenge,false
"Dec 27, 2021, 5:38:15 PM",January Fresh Start Challenge,false
"Dec 28, 2021, 12:31:20 AM",January 10k,true
"Dec 28, 2021, 12:31:22 AM",January Half Marathon,true
"Dec 28, 2021, 12:31:23 AM",January Running Endurance Challenge,false
"Dec 28, 2021, 12:31:24 AM",January Running Distance Challenge,true
"Dec 28, 2021, 12:31:25 AM",January Running Challenge,true
"Dec 28, 2021, 12:31:27 AM",January Run Climbing Challenge,false
