Comment Date,Comment
"Dec 6, 2021, 11:07:55 PM",*yourself what is my brain doing
"Dec 10, 2021, 4:08:05 PM",Jay Benham Hope so!  Good luck with your 5k!
"Dec 11, 2021, 10:19:44 PM",shaan matharu Thanks!!!
"Dec 11, 2021, 11:47:26 PM",Krysta Nichols thank youuu so excited!!!
"Dec 14, 2021, 10:56:35 PM",Uh oh
"Dec 21, 2021, 1:35:46 AM",We'll see about that one Owen  Carter 
"Dec 21, 2021, 1:36:14 AM",Shoot now I've basically challenged myself....
"Jan 4, 2022, 2:47:36 AM",lol go on desktop its ez to find there
"Jan 5, 2022, 4:13:05 PM",Gotta get that KOM back when I'm back in pgh...
"Jan 5, 2022, 6:27:14 PM",As you should as you should
"Jan 11, 2022, 10:15:47 PM",Nah writing >≥>>
"Jan 12, 2022, 3:20:39 AM",Just read this five hours later an saw the \gre in there :((((
"Jan 21, 2022, 10:12:34 PM",These runs are truly the best also *race* hahahahahahahahaa.
"Jan 23, 2022, 1:14:14 AM",Uh oh... I guess I'll just have to get faster :)
"Jan 25, 2022, 10:07:25 PM",Ayoooo first of many?
"Jan 26, 2022, 11:01:06 PM",IKR ITS ONLY GETTING BETTER NEXT THING WE KNOW HE'LL BE USING A PACE MAP OR SOMETHING CRAZY
"Jan 27, 2022, 11:37:34 PM",Ikr I once did 13 on a bike at a 4:12 and it was rather hard I cannot imagine doing twice that on foot
"Jan 27, 2022, 11:38:15 PM",Some whacky wind patterns fr
"Feb 2, 2022, 3:04:19 AM",Sometimes when the run's surroundings feel boring the run itself must become an exciting workout to compensate
"Feb 3, 2022, 1:16:45 AM",hahaha no this was just ~3.1 by chance it was an 800 workout but pausing between the reps made the pace way low
"Feb 3, 2022, 1:19:25 AM",wrong turns >>> also 45min 5k not too shabby
"Feb 6, 2022, 3:08:13 AM",Tis simply because it is cold wearing a light mask might help u get used to it
"Feb 9, 2022, 12:37:49 AM",Best thing to do whilst on the mill
"Feb 9, 2022, 12:44:14 AM",Our pace and mileage is almost twinning today haha
"Feb 9, 2022, 12:55:14 AM",Shhhhhhhh
"Feb 15, 2022, 10:04:23 PM",U riding in a sandstormy void?
"Feb 22, 2022, 1:06:05 PM",Hahahaha thanks!!
"Feb 22, 2022, 1:08:29 PM",Lol thanks it was a very very fun run
"Mar 6, 2022, 3:19:06 AM",Danggggggg ig that playlist payed off 💯
"Mar 16, 2022, 3:40:19 AM",Yeaaaaaaaaaaaaaaaaaaaa...
"Mar 18, 2022, 3:55:11 AM",That's the worst
"Mar 19, 2022, 9:07:01 PM",Sheeesh I almost missed that you did 100 hahaha
"Mar 21, 2022, 10:43:57 PM",Oops opposite MRI results 🙃
"Mar 21, 2022, 10:44:11 PM",Same day tho which is funny
"Mar 21, 2022, 10:44:52 PM",Reallllll
"Mar 21, 2022, 11:36:01 PM",? Nah mine IS a stress fracture(I think)
"Mar 21, 2022, 11:59:48 PM",Yeap 🥲
"Apr 22, 2022, 7:05:16 PM",Share?
"Apr 23, 2022, 6:08:46 PM",HE GETS IT BEANNNNNNN
"May 13, 2022, 1:40:08 PM",I played that game for a few days! And then I played the not running game for a few months! Lol don't push it
"May 18, 2022, 8:21:57 PM",*pr lmao I thought you like found a new mile or smth
"Jun 4, 2022, 2:57:28 AM",Share?
"Jun 10, 2022, 10:59:48 PM",HES BACK
"Jun 13, 2022, 10:17:03 PM",Ahahahhahah shhh I'll go faster tomorrow 
"Jun 16, 2022, 4:30:16 PM",Are you guys moving to AA?? 
"Jul 16, 2022, 4:27:28 PM",AYOO THE 🐐 ON STRAVA
"Aug 22, 2022, 12:16:39 PM",The segment CR in this run is impossible leading me to believe that the GPS messed up perhaps due to pausing while walking up the hill.  Thanks!!
"Aug 22, 2022, 12:23:50 PM",I gotta start doing me some stairs lol
"Aug 23, 2022, 3:03:34 AM",Monocots >>>
"Aug 26, 2022, 9:58:02 PM",(ish)
"Aug 26, 2022, 10:00:43 PM",Dragonfly's for XC?
"Aug 26, 2022, 10:02:25 PM",*flies
"Aug 29, 2022, 9:42:31 PM",Ooh location diff fancy
"Sep 3, 2022, 1:36:05 AM",SMH not on Strava didn't really happen
"Sep 3, 2022, 3:17:08 PM",5 seconds faster and u got me.... Def gonna happen at saucon if nowhere else
"Oct 24, 2022, 2:54:39 AM",Römer-ing around?
"Oct 24, 2022, 11:03:18 PM","I lost my senior season to a stress fracture and though I'd largely achieved my goals it was still incredibly hard.  What I've learned gradually since is that running is so much more than any race or any season and we cannot let these things which happen and make us so angry and distraught define us.  The sport is bigger than anything we will ever achieve or hope to achieve in it and it will be with you as long as you're with it.  That being said, it will take a while to feel okay about what happens and that's okay, but know that running will always be with you."
"Oct 29, 2022, 5:42:30 PM",YOU WERE HERE????
"Nov 3, 2022, 10:17:32 PM",Yup
"Nov 7, 2022, 10:51:30 PM",Try to get the segment(if u want)😈
"Dec 5, 2022, 4:22:09 AM",New bike old QB shirt. Nice. 💯
"Dec 26, 2022, 1:29:10 AM",We all need a NASA hoodie tbh
"Jan 10, 2023, 11:23:50 PM",What other weather would it be
"Jan 11, 2023, 4:37:06 PM",FRRRRRRR 
"Jan 20, 2023, 7:51:01 PM",Oh?
"Jan 21, 2023, 7:53:55 PM",Pace a little off... Nice race though!!!
